age,smoker_pertenthousand,sex,ethnicity,marital_status_at_diagnosis,insurance,p_model_low,p_model,p_model_high,p_HNC_incidence_low,p_HNC_incidence,p_HNC_incidence_high,p_HPV_incidence_low,p_HPV_incidence,p_HPV_incidence_high,p_HNC_no_HPV_low,p_HNC_no_HPV,p_HNC_no_HPV_high,p_HNC_low,p_HNC,p_HNC_high,Ethnicity
25,1800,Male,Black,Married (including common law),Insured,0.200291909384322,0.486944646996549,0.782000900670767,3.152e-06,3.152e-06,3.152e-06,0.145833333333333,0.145833333333333,0.145833333333333,2.95103988482414e-06,1.89324933385391e-06,8.0444857883209e-07,4.3290521031729e-06,1.05246824731414e-05,1.69019440382692e-05,Black
40,1800,Male,Black,Married (including common law),Insured,0.198829055160404,0.465618047387783,0.752112079600395,1.4182e-05,1.4182e-05,1.4182e-05,0.145695364238411,0.145695364238411,0.145695364238411,1.32999469557906e-05,8.87108009801485e-06,4.11509705079989e-06,1.93540383046824e-05,4.53233030616402e-05,7.32106582021279e-05,Black
50,1800,Male,Black,Married (including common law),Insured,0.187560022871648,0.45536117299554,0.750421069919378,8.0113e-05,8.0113e-05,8.0113e-05,0.146464646464646,0.146464646464646,0.146464646464646,7.625577970273e-05,5.1119909874947e-05,2.34255285885129e-05,0.000102591283801332,0.000249072732108068,0.000410464126501425,Black
60,1800,Male,Black,Married (including common law),Insured,0.180911848375554,0.452429451949923,0.750421069919378,0.000146996,0.000146996,0.000146996,0.192307692307692,0.192307692307692,0.192307692307692,0.000149069987159089,9.96551279671617e-05,4.54221292647338e-05,0.000138285253931827,0.000345827662537921,0.000573606257088118,Black
70,1800,Male,Black,Married (including common law),Insured,0.263573613191365,0.547599419945319,0.821076407801723,0.000182483,0.000182483,0.000182483,0.149122807017544,0.149122807017544,0.149122807017544,0.000157937358589856,9.70238898527164e-05,3.83727688841594e-05,0.000322537542163763,0.000670102628487442,0.00100475902460215,Black
25,1800,Female,Black,Married (including common law),Insured,0.14976851321305,0.413352866657294,0.725033803408678,0,0,0,0.037593984962406,0.037593984962406,0.037593984962406,0,0,0,0,0,0,Black
40,1800,Female,Black,Married (including common law),Insured,0.15358162848099,0.398059871240417,0.701327926566889,3.908e-06,3.908e-06,3.908e-06,0.035,0.035,0.035,3.42777512528113e-06,2.43770157843777e-06,1.20954452121927e-06,1.71484858315345e-05,4.44462279087871e-05,7.8308272486383e-05,Black
50,1800,Female,Black,Married (including common law),Insured,0.141676834383492,0.386707582743892,0.701327926566889,2.1208e-05,2.1208e-05,2.1208e-05,0.0684931506849315,0.0684931506849315,0.0684931506849315,1.95417969387769e-05,1.39630809958416e-05,6.7999900784701e-06,4.38683616326345e-05,0.000119738898456554,0.000217156934932807,Black
60,1800,Female,Black,Married (including common law),Insured,0.141676834383492,0.388785896256315,0.704503578085686,3.4819e-05,3.4819e-05,3.4819e-05,0.0481927710843374,0.0481927710843374,0.0481927710843374,3.13991671797329e-05,2.23594266062641e-05,1.08098463660084e-05,0.000102360698200275,0.000280895574526284,0.000508999784271334,Black
70,1800,Female,Black,Married (including common law),Insured,0.209452373431652,0.482362438629373,0.774505339224481,3.6312e-05,3.6312e-05,3.6312e-05,0.0227272727272727,0.0227272727272727,0.0227272727272727,2.9373955309344e-05,1.92335819919435e-05,8.37858449701276e-06,0.000334647921698207,0.000770683974346432,0.00123744886662845,Black
25,1800,Male,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.216266478542821,0.482502235793474,0.774457506118632,1.222e-06,1.222e-06,1.222e-06,0.0812324929971989,0.0812324929971989,0.0812324929971989,1.0423990355786e-06,6.88294114713883e-07,2.99981143675983e-07,3.2533488389731e-06,7.25839759909814e-06,1.16503512025613e-05,Hispanic
40,1800,Male,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.217467563232661,0.453995708937574,0.758388345181997,9.563e-06,9.563e-06,9.563e-06,0.0707070707070707,0.0707070707070707,0.0707070707070707,8.05274360421522e-06,5.61872244029966e-06,2.48633362225469e-06,2.94120840588857e-05,6.14020764989188e-05,0.000102570615250367,Hispanic
50,1800,Male,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.193851804579245,0.445351698455109,0.755360842958848,4.1959e-05,4.1959e-05,4.1959e-05,0.192982456140351,0.192982456140351,0.192982456140351,4.19138002500998e-05,2.88376482786469e-05,1.27194439184025e-05,4.21480171359463e-05,9.68301071983857e-05,0.000164233507250317,Hispanic
60,1800,Male,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.193851804579245,0.442624136579719,0.755360842958848,0.000106396,0.000106396,0.000106396,0.131067961165049,0.131067961165049,0.131067961165049,9.87084600022193e-05,6.82476416037968e-05,2.9954733614667e-05,0.00015736154294825,0.000359305487145199,0.000613173284554615,Hispanic
70,1800,Male,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.270232778646717,0.539886119411411,0.82604298992587,0.000132,0.000132,0.000132,0.116883116883117,0.116883116883117,0.116883116883117,0.000109078735850511,6.87734923868003e-05,2.60014566234332e-05,0.000305182884685026,0.000609711390855287,0.000932877883289616,Hispanic
25,1800,Female,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.171409039458732,0.419237321037471,0.705899960402863,0,0,0,0.041025641025641,0.041025641025641,0.041025641025641,0,0,0,0,0,0,Hispanic
40,1800,Female,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.173015450326789,0.386710943949282,0.691067601295569,2.054e-06,2.054e-06,2.054e-06,0.0229357798165138,0.0229357798165138,0.0229357798165138,1.73850012101537e-06,1.28926604322039e-06,6.49442619871739e-07,1.54942948447454e-05,3.46316665588116e-05,6.18881443934639e-05,Hispanic
50,1800,Female,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.162265524005352,0.373796110175461,0.691067601295569,5.507e-06,5.507e-06,5.507e-06,0.0663265306122449,0.0663265306122449,0.0663265306122449,4.94113189520926e-06,3.69348057359395e-06,1.82214743745573e-06,1.34726817828235e-05,3.10357734640237e-05,5.73783860727385e-05,Hispanic
60,1800,Female,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.162265524005352,0.375596150314426,0.691067601295569,2.1474e-05,2.1474e-05,2.1474e-05,0.0446927374301676,0.0446927374301676,0.0446927374301676,1.88311246468662e-05,1.40357440935585e-05,6.94437757327738e-06,7.79654606732346e-05,0.000180466720000188,0.000332044679371196,Hispanic
70,1800,Female,White_Spanish-Hispanic-Latino,Married (including common law),Insured,0.227799886563461,0.474350568898696,0.771468704199459,2.1588e-05,2.1588e-05,2.1588e-05,0.103448275862069,0.103448275862069,0.103448275862069,1.85937471314297e-05,1.26570722169167e-05,5.50278749225077e-06,4.75381915276092e-05,9.89893741200555e-05,0.00016099317506716,Hispanic
